rank,workflow_id,title,process_area,file,monthly_hours_low,monthly_hours_high,fte_high,effort_steps,automated_steps,cadence_only_steps,qualitative_steps,elapsed_days_low,elapsed_days_high,per_unit_rates,live_or_dormant,dormant_capabilities
1458,W5547,Payment-Network & Acquirer Outage Response (Card Scheme / Acquirer Downtime),VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.1-transaction-processing.md,0.00,0.00,0.000,0,0,0,0,3.0,6.0,0,live,
1459,W5564,Mobile-Wallet Platform Outage Response (E-Wallet Tender Downtime),VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.1-transaction-processing.md,0.00,0.00,0.000,0,0,1,4,1.0,2.0,0,live,
1460,W517,POS Cashier Shift Handover & Drawer Accountability,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1461,W537,POS Card Terminal & Acquirer Settlement Operations,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,0.00,0.00,0.000,0,0,2,0,0.0,0.0,3,live,
1462,W541,POS Cash Office Operations & Bank Deposit Preparation,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,3,live,
1463,W543,POS Consignment Sell-Through Transaction Processing & Vendor Settlement Trigger,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,0.00,0.00,0.000,0,3,2,1,0.0,0.0,0,live,
1464,W5566,Payment-Terminal Tampering & Card-Skimmer Response (PIN-Pad Compromise Event),VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.2-payment-and-cash-management.md,0.00,0.00,0.000,0,0,1,2,5.0,11.0,0,live,
1465,W529,POS Void & Refund Tiered Authorization,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.3-pos-compliance-and-controls.md,0.00,0.00,0.000,0,3,0,0,0.0,0.0,0,live,
1466,W553,POS Pricing Error Detection & Immediate Correction at Checkout,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.3-pos-compliance-and-controls.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,1,live,
1467,W605,Return Fraud Detection & Serial Returner Management,VS-08-pos-checkout,01-model-company/workflows/VS-08-pos-checkout/PA-08.3-pos-compliance-and-controls.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,1,live,
1468,W273,In-Store Endless Aisle & Vendor Direct-to-Customer Delivery,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,2,0,0,1.0,5.0,0,live,
1469,W274,Third-Party Customer Financing / Equipment Leasing,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,1,live,
1470,W438,Yard Dispatch & Customer Vehicle Loading Operations,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1471,W604,Store-Level Customer Experience Standards & Daily Service Operations,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,2,0.0,0.0,0,live,
1472,W607,Store-Level Product Demo & Trial Station Daily Operations,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,1,live,
1473,W608,Store-Level Customer Feedback Collection & Daily CX Pulse Monitoring,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1474,W740,Store-Level Customer Complaint On-the-Spot Resolution & Floor Staff Empowerment,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1475,W744,Store-Level Special Order Follow-Up & Proactive Customer Notification,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,1,live,
1476,W946,Customer Screen Door & Window Screen Custom Fabrication Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,3,live,
1477,W953,Customer Contractor Micro-Lending Partnership Program Management,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,1,0,0.0,0.0,0,live,
1478,W964,"Customer Bulk Cement, Sand & Aggregates Order & Direct-to-Site Delivery",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1479,W966,Customer Construction Loan Documentation Assistance & Partner Bank Referral,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,1,0.0,0.0,0,live,
1480,W968,Customer Multi-Store Aggregated Order & Consolidated Single Delivery,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,3,0,0,0.0,0.0,0,live,
1481,W970,Customer Post-Disaster Insurance Claim Material Replacement Coordination,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1482,W1004,Customer Material Delivery Scheduling & Rescheduling Self-Service Portal,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,1,live,
1483,W1007,Customer Tool & Equipment Demo Reservation & Scheduling Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1484,W1009,Customer Custom Order Special Pricing Approval & Quotation Lifecycle,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,1,live,
1485,W1014,Customer Multi-Entity Billing & Consolidated Invoicing for Corporate Accounts,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,5,live,
1486,W1018,Customer Project Progress Payment Verification & Invoice Matching,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,5,live,
1487,W1045,"Store-Level Customer PVC Pipe Cutting, Jointing & Fabrication Service",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1488,W1046,"Customer Door & Window Measurement, Sizing & Custom Order Service",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1489,W1054,Store-Level Customer Wire & Cable Cut-to-Length Spool Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1490,W1059,Customer Kitchen Countertop Measurement & Custom Fabrication Order Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,1,live,
1491,W1062,"Store-Level Customer Scaffolding Rental, Safety Harness Package & Delivery Service",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1492,W1063,Store-Level Customer Welding Gas Cylinder Exchange & Refill Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1493,W1077,Store-Level Customer Construction Site Portable Toilet & Temporary Facility Rental Coordination,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1494,W1086,Customer Construction Waste Disposal & Skip/Dumpster Rental Coordination,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,1,live,
1495,W1088,Customer Mortgage & Housing Loan Partner Bank Referral Desk Operations,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,2,live,
1496,W1094,Customer Construction Equipment Rental Partner Coordination & Booking,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1497,W1101,Store-Level Customer Door & Window Security Grille Custom Fabrication Coordination,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1498,W1104,Customer Tool Rental Return Damage Assessment & Billing,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1499,W1109,Customer Project Material Surplus Buy-Back & Recycling Program,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1500,W1114,Customer Product Availability Real-Time Stock Lookup & Reservation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1501,W1131,Customer Construction Project Milestone Photo Documentation & Progress Tracking Portal,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,1,live,
1502,W1140,Customer Post-Construction Punch List Material Fulfillment & Callback Order,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1503,W1143,Customer Construction Material Pre-Order Reservation & Price Lock Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,1,live,
1504,W1144,Store-Level Customer Hazardous Material Transport Regulation Advisory,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1505,W1148,Store-Level Customer Construction Site Vehicle Access Assessment & Delivery Feasibility,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.1-custom-fabrication-and-processing.md,0.00,0.00,0.000,0,0,0,1,0.0,0.0,0,live,
1506,W823,Store-Level Customer Material Calculator & Quantity Estimation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,3,0,0,0.0,0.0,0,live,
1507,W949,Customer AI-Powered Home Renovation Visualizer & Material Estimator,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1508,W963,Customer Tile & Flooring Quantity Calculator & Waste Factor Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1509,W965,Customer Complete Bathroom/Kitchen Renovation Package Assembly & Order,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1510,W967,Store-Level Customer Project Material Takeoff & Professional Estimation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1511,W971,Customer Power Tool Battery & Accessory Cross-Compatibility Checker & Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1512,W975,Customer Home Energy Audit Referral & Energy-Efficient Product Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1513,W976,Store-Level Customer Lumber & Plywood Grade Selection & Quality Verification,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,2,live,
1514,W981,Customer Paint Color Matching from Physical Sample & Digital Photo,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1515,W982,Customer Electrical Load Calculation & Wire Size Recommendation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1516,W983,Customer Roofing Material Calculator & GI Sheet/Insulation Sizing Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1517,W984,Customer Water Tank & Pump System Sizing Recommendation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1518,W985,Store-Level Customer Aircon Sizing & BTU/Horsepower Calculation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1519,W987,Customer Fence & Gate Material Estimation & Design Recommendation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1520,W989,Customer Plumbing System Layout Design & Material Takeoff Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1521,W990,Customer Solar Panel System Sizing & ROI Calculator Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1522,W991,Customer Electrical Circuit Design & Residential Load Planning Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1523,W992,Customer Garden & Landscape Design Consultation & Material Estimation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1524,W993,Customer Construction Project Timeline & Phased Material Delivery Planner,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,1,0.0,0.0,0,live,
1525,W997,Customer Bathroom/Kitchen Fixture Compatibility Checker & Bundle Builder,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1526,W998,Customer Septic Tank & Wastewater System Sizing Recommendation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1527,W1000,Customer Ceiling System Material Calculator & Design Recommendation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1528,W1043,Customer Paint Coverage Area Calculator & Primer/Finish Quantity Estimator Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,3,0,0,0.0,0.0,0,live,
1529,W1044,Customer Concrete Mix Ratio & Volume Calculator for Slab/Foundation/Column Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1530,W1048,Customer Rainwater Harvesting System Design & Material Sizing Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1531,W1050,"Customer Staircase Tread, Riser & Railing Material Calculator Service",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1532,W1052,"Customer Gutter, Downspout & Flashing Sizing Calculator Service",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1533,W1053,Customer Bathroom & Kitchen Exhaust Fan & Ventilation Duct Sizing Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1534,W1055,Customer Water Filtration & Purification System Sizing for Residential & Commercial,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1535,W1056,Store-Level Customer Construction Permit Advisory & Municipal Building Requirements Guidance,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1536,W1057,"Customer Insulation Material Calculator (Wall, Ceiling, Roof Thermal & Acoustic)",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1537,W1060,"Customer Rebar Stirrup, Tying Wire & Binding Material Quantity Estimator Service",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1538,W1061,"Customer Tile Grout, Adhesive & Thin-Set Mortar Quantity Calculator Service",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,3,0,0,0.0,0.0,0,live,
1539,W1064,Customer Electrical Panel & Circuit Breaker Sizing Recommendation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,3,0,0,0.0,0.0,0,live,
1540,W1065,Customer Bathroom Renovation Complete Project Planning & Material Bundle Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1541,W1066,Customer Termite & Pest Control Product Selection & Treatment Plan Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1542,W1067,Store-Level Customer Fire Suppression System Design & Product Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1543,W1068,Customer Earthquake-Resistant Construction Material Selection & Retrofit Advisory,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1544,W1069,Customer Flood-Resistant Construction Material Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1545,W1071,Customer Smart Home System Design & Product Recommendation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1546,W1072,Store-Level Customer Marine & Coastal Construction Material Selection Advisory,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1547,W1073,Customer House Foundation Type Recommendation & Material Estimation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1548,W1074,Customer Home Office & Workspace Design Consultation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1549,W1075,Customer Roof Truss & Structural Frame Material Estimation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1550,W1076,Customer Garden & Outdoor Kitchen Design Consultation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1551,W1078,Customer Rainwater Collection & Storage System Complete Package Design,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1552,W1079,Customer Swimming Pool Construction Material Estimation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1553,W1080,Store-Level Customer Construction Scaffold & Ladder Safety Consultation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1554,W1081,Customer Construction Project Insurance Coverage Advisory Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1555,W1082,Store-Level Customer Construction Material Quality Verification & Grade Certification Assistance,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1556,W1083,Store-Level Customer Plumbing Fixture & Fitting Compatibility Verification Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1557,W1084,Customer Home Security & CCTV System Design & Product Recommendation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1558,W1089,Store-Level Customer Tile & Flooring Digital Room Visualizer Kiosk Operations,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1559,W1090,Customer HVAC Ductwork Design & Complete Material Sizing Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1560,W1093,Customer Interior Paint Color Scheme Consultation & Material Board Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,1,0,0,0.0,0.0,0,live,
1561,W1095,Store-Level Customer Electrical Residential Wiring Diagram & Material List Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1562,W1096,Customer Solar Water Heater System Sizing & Complete Package Recommendation,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1563,W1097,"Store-Level Customer Outdoor Deck, Patio & Pergola Material Estimation Service",VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,2,0,0,0.0,0.0,0,live,
1564,W1098,Customer Emergency Home Repair Quick-Fix Bundle Curation & Package Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1565,W1102,Customer Retaining Wall & Foundation Formwork Material Estimation Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,3,0,0,0.0,0.0,0,live,
1566,W1124,Customer Construction Material Compatibility Cross-Reference & Substitution Advisory,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1567,W1129,Customer Interior Design Material Board Curation & Mood Board Assembly Service,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1568,W1138,Customer Construction Worker Safety Gear Bundle Recommendation & Compliance Package,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1569,W1152,Store-Level Customer Project Material Quantity Verification & Completeness Check,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
1570,W1154,Store-Level Customer Paint VOC & Indoor Air Quality Compliance Advisory,VS-09-in-store-services,01-model-company/workflows/VS-09-in-store-services/PA-09.2-project-estimation-and-advisory.md,0.00,0.00,0.000,0,0,0,0,0.0,0.0,0,live,
